Altitude,Temperature,Pressure,Density,Speed_of_sound
33187.5,231.975,727.82705,0.01093,305.327312
33195,231.996,727.023621,0.010917,305.341132
33202.5,232.017,726.221152,0.010904,305.354951
33210,232.038,725.419641,0.010891,305.36877
33217.5,232.059,724.619088,0.010878,305.382588
33225,232.08,723.819489,0.010865,305.396405
33232.5,232.101,723.020846,0.010852,305.410222
33240,232.122,722.223156,0.010839,305.424038
33247.5,232.143,721.426418,0.010826,305.437854
33255,232.164,720.630631,0.010813,305.451668
33262.5,232.185,719.835793,0.0108,305.465483
33270,232.206,719.041904,0.010787,305.479296
33277.5,232.227,718.248963,0.010775,305.493109
33285,232.248,717.456967,0.010762,305.506922
33292.5,232.269,716.665916,0.010749,305.520733
33300,232.29,715.875809,0.010736,305.534545
33307.5,232.311,715.086644,0.010723,305.548355
33315,232.332,714.29842,0.01071,305.562165
33322.5,232.353,713.511136,0.010698,305.575974
33330,232.374,712.724791,0.010685,305.589783
33337.5,232.395,711.939383,0.010672,305.603591
33345,232.416,711.154912,0.010659,305.617398
33352.5,232.437,710.371376,0.010647,305.631205
33360,232.458,709.588774,0.010634,305.645011
33367.5,232.479,708.807105,0.010621,305.658817
33375,232.5,708.026367,0.010609,305.672621
33382.5,232.521,707.24656,0.010596,305.686426
33390,232.542,706.467682,0.010583,305.700229
33397.5,232.563,705.689731,0.010571,305.714032
33405,232.584,704.912708,0.010558,305.727835
33412.5,232.605,704.13661,0.010546,305.741637
33420,232.626,703.361437,0.010533,305.755438
33427.5,232.647,702.587187,0.010521,305.769238
33435,232.668,701.813859,0.010508,305.783038
33442.5,232.689,701.041451,0.010496,305.796837
33450,232.71,700.269964,0.010483,305.810636
33457.5,232.731,699.499395,0.010471,305.824434
33465,232.752,698.729743,0.010458,305.838231
33472.5,232.773,697.961008,0.010446,305.852028
33480,232.794,697.193187,0.010433,305.865824
33487.5,232.815,696.42628,0.010421,305.87962
33495,232.836,695.660286,0.010408,305.893415
33502.5,232.857,694.895204,0.010396,305.907209
33510,232.878,694.131032,0.010384,305.921003
33517.5,232.899,693.367768,0.010371,305.934796
33525,232.92,692.605413,0.010359,305.948588
33532.5,232.941,691.843965,0.010347,305.96238
33540,232.962,691.083422,0.010334,305.976171
33547.5,232.983,690.323784,0.010322,305.989962
33555,233.004,689.565049,0.01031,306.003752
33562.5,233.025,688.807217,0.010298,306.017541
33570,233.046,688.050285,0.010285,306.03133
33577.5,233.067,687.294254,0.010273,306.045118
33585,233.088,686.539121,0.010261,306.058905
33592.5,233.109,685.784885,0.010249,306.072692
33600,233.13,685.031546,0.010236,306.086478
33607.5,233.151,684.279103,0.010224,306.100264
33615,233.172,683.527553,0.010212,306.114049
33622.5,233.193,682.776897,0.0102,306.127833
33630,233.214,682.027132,0.010188,306.141617
33637.5,233.235,681.278258,0.010176,306.1554
33645,233.256,680.530274,0.010164,306.169183
33652.5,233.277,679.783178,0.010152,306.182965
33660,233.298,679.03697,0.01014,306.196746
33667.5,233.319,678.291647,0.010128,306.210526
33675,233.34,677.54721,0.010116,306.224306
33682.5,233.361,676.803657,0.010104,306.238086
33690,233.382,676.060986,0.010092,306.251865
33697.5,233.403,675.319197,0.01008,306.265643
33705,233.424,674.578289,0.010068,306.27942
33712.5,233.445,673.83826,0.010056,306.293197
33720,233.466,673.099109,0.010044,306.306973
33727.5,233.487,672.360836,0.010032,306.320749
33735,233.508,671.623438,0.01002,306.334524
33742.5,233.529,670.886915,0.010008,306.348299
